Locality,Sample,mab,Latitude,Longitude,Geologic Unit(s),Fossil,Fossil Subgroup,Fossil Unit,Reference,Period,Epoch,Age,projectName,Sample Collector
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Crenispirifer myllus,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Crurithyris guadalupensis,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Deltarina magnicostata,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Derbyia sp. 1,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Dielasma sp.,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Dielasma subcirculare,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Elivina detecta,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Heteralosia magnispina,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Hustedia opsia,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Lirellaria costellata,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Martinia rhomboidalis,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Ombonia guadalupensis,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Paraspiriferina billingsi,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Reticulariina sp.,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Sarganostega pressa,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Scapharina levis,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Sestropoma cribriferum,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Stenoscisma trabeatum,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Tautosia elegans,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Tropidelasma gregarium,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 38,AMNH 38,n/a,31.9648,-104.7625,Lamar Limestone,Invertebrate,Brachiopod,Allorhynchus venustulum,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 38,AMNH 38,n/a,31.9648,-104.7625,Lamar Limestone,Invertebrate,Brachiopod,Arionthia lamaria,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 38,AMNH 38,n/a,31.9648,-104.7625,Lamar Limestone,Invertebrate,Brachiopod,Collemataria sp.,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 38,AMNH 38,n/a,31.9648,-104.7625,Lamar Limestone,Invertebrate,Brachiopod,Collemataria spatulata,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 38,AMNH 38,n/a,31.9648,-104.7625,Lamar Limestone,Invertebrate,Brachiopod,Composita affinis,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 38,AMNH 38,n/a,31.9648,-104.7625,Lamar Limestone,Invertebrate,Brachiopod,Crenispirifer myllus,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 38,AMNH 38,n/a,31.9648,-104.7625,Lamar Limestone,Invertebrate,Brachiopod,Crurithyris guadalupensis,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 38,AMNH 38,n/a,31.9648,-104.7625,Lamar Limestone,Invertebrate,Brachiopod,Derbyia sp. 1,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 38,AMNH 38,n/a,31.9648,-104.7625,Lamar Limestone,Invertebrate,Brachiopod,Eolyttonia sp.,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 38,AMNH 38,n/a,31.9648,-104.7625,Lamar Limestone,Invertebrate,Brachiopod,Heteralosia paucispinosa,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 38,AMNH 38,n/a,31.9648,-104.7625,Lamar Limestone,Invertebrate,Brachiopod,Hustedia opsia,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
